,num_observations,rel_error,seed,signal_dimension,sparsity
680,48,0.717196053173405,0,100,32
681,52,0.7062116666214271,0,100,32
682,57,0.7388127957633434,0,100,32
683,62,0.6828548638507341,0,100,32
684,67,0.6406650866924148,0,100,32
685,72,0.602265200056586,0,100,32
686,78,0.5888695665578842,0,100,32
687,85,0.48743015196867984,0,100,32
688,92,0.46778075700867805,0,100,32
689,100,0.47706157747732963,0,100,32
690,10,1.1493140717039425,0,100,38
691,10,1.1493140717039425,0,100,38
692,11,1.1579311696729615,0,100,38
693,12,1.0689632894462748,0,100,38
694,13,1.1868605556671639,0,100,38
695,14,1.1728797374248912,0,100,38
696,16,1.0920637054341094,0,100,38
697,17,1.0940919319264533,0,100,38
698,18,1.0259548606755802,0,100,38
699,20,0.9127277743783118,0,100,38
700,22,0.9474709752548854,0,100,38
701,23,0.944186830918987,0,100,38
702,25,0.9461632322544046,0,100,38
703,28,1.0002272218623331,0,100,38
704,30,0.972513677087713,0,100,38
705,32,0.9525332406576648,0,100,38
706,35,0.9008341129570698,0,100,38
707,38,0.8462373425619802,0,100,38
708,41,0.8268019259268787,0,100,38
709,45,0.7688774516814049,0,100,38
710,48,0.7724039004874556,0,100,38
711,52,0.7852067161093771,0,100,38
712,57,0.8037834785079835,0,100,38
713,62,0.8007146876914489,0,100,38
714,67,0.7573437961971096,0,100,38
715,72,0.7393813354859429,0,100,38
716,78,0.7129550026957596,0,100,38
717,85,0.6144230504327435,0,100,38
718,92,0.6412579015434224,0,100,38
719,100,0.6480698540599671,0,100,38
720,10,1.1665242838030114,0,100,45
721,10,1.1665242838030114,0,100,45
722,11,1.200879937471447,0,100,45
723,12,1.0263578617579872,0,100,45
724,13,1.18935646455582,0,100,45
725,14,1.111851403376591,0,100,45
726,16,1.1461460964713792,0,100,45
727,17,1.0114510881795469,0,100,45
